ID,PRE/POST,ENVIRONMENT,FILENAME,HAS_ATTACHMENTS,REQUESTER,DURATION,CM_AM,CM_IT,CM_UAT,CM_TST5,CM_ST,CM_DEVE2E,CM_COURTESY,CM_PT,CM_CATALOG,CM_ACNDEVOPS,CM_PROD
55,POST,ALIGNMENT,2022.09.30_VlocityAPIMetadataChanges.txt,FALSE,jayesh.birari,5,,,,x,,,,,,,x
56,POST,ALIGNMENT,2022.10.10_InterfaceImplementation_Update.txt,FALSE,jayesh.birari,5,,,,,,,,,,,x
57,POST,ALIGNMENT,2022.10.10_InterfaceImplementation_Update.txt,FALSE,jayesh birari,5,,,,,,,,,,,x
58,POST,ALIGNMENT,2022.10.17_ManualProcedures_NetflixDrop2.txt,FALSE,chandra.reddy,10,,,,,,,,,,,x
59,POST,ALIGNMENT,20220613_MP_Disattivare-Riattivare-OS-LLAMA.txt,FALSE,paolo.occhetto,6,,,,,,,,,,,
60,POST,ALIGNMENT,2022.10.26_LlamaFF1_ManualProcedures_PostDeploymentStep.txt,FALSE,Tejaswini Kasar,5,x,,,,,,,,,,x
61,PRE,ALIGNMENT,2022.10.26_LlamaFF1_ManualProcedures_PreDeploymentStep.txt,FALSE,Tejaswini Kasar,5,x,,,,,,,,,,x
62,PRE,ALIGNMENT,20222010_LLAMA_DeleteOldMatrixRows.txt,FALSE,paolo.occhetto,10,,x,,,,,,,,,
63,POST,ALIGNMENT,2022.10.28_InsertCSBatchAddProd2Bask.txt,TRUE,emanuele.coppola,5,,x,,,,,,,,,
64,POST,ALIGNMENT,2022.11.02_ManualProcedures_ExitDowngrade.txt,FALSE,Shridhar Rakshe,15,,X,,,,,,,,,
65,POST,ALIGNMENT,20221214_LOV_ImportRECONNECTIONNPP.txt,TRUE,lorenzo.bellinzona,5,,X,X,,,,,,,,
66,POST,ALIGNMENT,20221214_LOV_ImportSKY8081.txt,TRUE,lorenzo.bellinzona,5,,X,X,,,,,,,,
67,POST,ALIGNMENT,20221214_LOV_ModificaAttivitaExitFee.txt,FALSE,lorenzo.bellinzona,5,,X,X,,,,,,,,
